,,,,,d = delayed;,,
,,,,,__________________________________________________________________,,__________________________________________________________________
*,D,O,S,,TO DO – DEFINED,,TODO – LESS DEFINED
,,,d,1,Get bumper fixed on car – contact Robbie Butler,1,
,,,d,2,Hole for vent in utility,2,Exercise and outddoors: adventures are waiting!
,,,d,3,BBNet ref SSH access to my server – ring them,3,
,D,,,4,Clear decking of weeds and briars,4,
,,,,5,Door under hob,5,
,D,,,6,Paint utility,6,
,,,,7,Lino for utility,7,
,,,,8,HOUSE – new curtains for living room,8,
,,,,9,HOUSE – paint living room,9,
,,,,10,,10,
,,,,,,,
,,,,,,,
,,,,,__________________________________________________________________,,__________________________________________________________________
*,D,O,S,,TODO – NOT-SO-NICE BUT NECESSARY,,TODO – SCRATCH PAD
,,,,1,,1,
,,,,2,Get health insurance,2,
,,,,3,Sort out my pension requirements,3,
,,,,4,,4,
,,,,5,,5,Clean up the attic – and place insulation
,,,,6,,6,
,,,,7,,7,
,,,,8,,8,
,,,,9,,9,
,,,,10,,10,
,,,,,,,
,,,,,__________________________________________________________________,,__________________________________________________________________
,,,,,CHORES – CURRENT,,CHORES – OTHER
*,,O,,1,Cut lawn,1,
,D,,,2,Weeding on driveway / front,2,
,,,,3,Wash windows,3,
,,,,4,Tidy garage,4,
,,,,5,Clean chimney,5,
,D,,,6,Clean gutters,6,
,,,,7,Clean moss  off roof,,
,,,,8,Chop blocks,,
,D,,,9,Wash net curtains,,
